date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:16:04	124/124	---M-Z	200	added ('OK')	text/html	date:Thu,%2008%20Oct%202020%2012:17:12%20GMT	https://5f7ec2fb4c5f7.site123.me/robots.txt		(from )
17:16:04	54000/54000	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Oct%202020%2012:17:13%20GMT	https://5f7ec2fb4c5f7.site123.me/	C:/Users/Mr.Perfect/Desktop/MyWeb/5f7ec2fb4c5f7.site123.me/index.html	(from )
17:16:09	5049/5049	---M-Z	200	added ('OK')	image/png	date:Fri,%2026%20Jun%202020%2012:18:09%20GMT	http://cdn-cms-s.f-static.net/manager/site123_website/files/logos/brand_files_2020/Icons/Png/Icon_blue.png?v=r6913	C:/Users/Mr.Perfect/Desktop/MyWeb/cdn-cms-s.f-static.net/manager/site123_website/files/logos/brand_files_2020/Icons/Png/Icon_bluef66a.png	(from https://5f7ec2fb4c5f7.site123.me/)
17:16:14	397292/397292	---M--	200	added ('OK')	image/jpeg	etag:%22c8b67ea8769a8651d31202aa42449ba5%22	https://cdn-cms.f-static.net/ready_uploads/media/179697/2000_5ceb938399a65.jpg	C:/Users/Mr.Perfect/Desktop/MyWeb/cdn-cms.f-static.net/ready_uploads/media/179697/2000_5ceb938399a65.jpg	(from https://5f7ec2fb4c5f7.site123.me/)
17:16:17	3002/3002	---M-Z	200	added ('OK')	image/png	date:Thu,%2008%20Oct%202020%2012:17:25%20GMT	http://cdn-cms-s.f-static.net/ready_uploads/pwaScreenLogo/pwaImage.png?width=152&height=152&resizeType=pwaIcon&w=&orderScreen=&websiteID=4336936&tranW=&v=r6913_21484476	C:/Users/Mr.Perfect/Desktop/MyWeb/cdn-cms-s.f-static.net/ready_uploads/pwaScreenLogo/pwaImage3803.png	(from https://5f7ec2fb4c5f7.site123.me/)
17:16:17	8322/8322	---M-Z	200	added ('OK')	image/png	date:Thu,%2008%20Oct%202020%2012:17:26%20GMT	http://cdn-cms-s.f-static.net/ready_uploads/pwaScreenLogo/pwaImage.png?width=180&height=180&resizeType=pwaIcon&w=&orderScreen=&websiteID=4336936&tranW=&v=r6913_21484476	C:/Users/Mr.Perfect/Desktop/MyWeb/cdn-cms-s.f-static.net/ready_uploads/pwaScreenLogo/pwaImagef260.png	(from https://5f7ec2fb4c5f7.site123.me/)
17:16:18	8322/8322	---M-Z	200	added ('OK')	image/png	date:Thu,%2008%20Oct%202020%2012:17:27%20GMT	http://cdn-cms-s.f-static.net/ready_uploads/pwaScreenLogo/pwaImage.png?width=167&height=167&resizeType=pwaIcon&w=&orderScreen=&websiteID=4336936&tranW=&v=r6913_21484476	C:/Users/Mr.Perfect/Desktop/MyWeb/cdn-cms-s.f-static.net/ready_uploads/pwaScreenLogo/pwaImage7de7.png	(from https://5f7ec2fb4c5f7.site123.me/)
17:16:18	210507/210507	---M-Z	200	added ('OK')	text/css	date:Sun,%2030%20Aug%202020%2014:24:31%20GMT	http://cdn-cms-s.f-static.net/versions/2/css/minimize_main.css?v=r6913	C:/Users/Mr.Perfect/Desktop/MyWeb/cdn-cms-s.f-static.net/versions/2/css/minimize_mainf66a.css	(from https://5f7ec2fb4c5f7.site123.me/)
17:16:20	85296/85296	---MCZ	200	added ('OK')	text/css	date:Thu,%2008%20Oct%202020%2012:17:27%20GMT	http://cdn-cms-s.f-static.net/versions/2/css/websiteCSS.css?w=&orderScreen=&websiteID=4336936&onlyContent=&tranW=&v=r6913_21484476	C:/Users/Mr.Perfect/Desktop/MyWeb/cdn-cms-s.f-static.net/versions/2/css/websiteCSSef8f.css	(from https://5f7ec2fb4c5f7.site123.me/)
17:16:23	774693/774693	---M--	200	added ('OK')	image/jpg	etag:%22fcc290d85facd2ccc9b81beabcf272db%22	https://cdn-cms.f-static.net/uploads/4336936/800_crop_5f7ece3231c81_5f7ecdba65b95.jpg	C:/Users/Mr.Perfect/Desktop/MyWeb/cdn-cms.f-static.net/uploads/4336936/800_crop_5f7ece3231c81_5f7ecdba65b95.jpg	(from https://5f7ec2fb4c5f7.site123.me/)
17:16:24	7626/7626	---M--	200	added ('OK')	image/png	etag:%22b9e0bf9f508838a5d4f6b850caa8ebb2%22	https://cdn-cms.f-static.net/uploads/4336936/400_crop_5f7ed60f56868_5f7ed600e8314.png	C:/Users/Mr.Perfect/Desktop/MyWeb/cdn-cms.f-static.net/uploads/4336936/400_crop_5f7ed60f56868_5f7ed600e8314.png	(from https://5f7ec2fb4c5f7.site123.me/)
17:16:25	46820/46820	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Oct%202020%2012:17:34%20GMT	https://5f7ec2fb4c5f7.site123.me/my-skills/java	C:/Users/Mr.Perfect/Desktop/MyWeb/5f7ec2fb4c5f7.site123.me/my-skills/java.html	(from https://5f7ec2fb4c5f7.site123.me/)
17:16:25	12849/12849	---M--	200	added ('OK')	image/jpg	etag:%22d3b7fc3901f45b2ab772f7d308cdfdb5%22	https://cdn-cms.f-static.net/uploads/4336936/400_crop_5f7ed861a904d_5f7ed84866d27.jpg	C:/Users/Mr.Perfect/Desktop/MyWeb/cdn-cms.f-static.net/uploads/4336936/400_crop_5f7ed861a904d_5f7ed84866d27.jpg	(from https://5f7ec2fb4c5f7.site123.me/)
17:16:26	45513/45513	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Oct%202020%2012:17:35%20GMT	https://5f7ec2fb4c5f7.site123.me/my-skills/kotlin	C:/Users/Mr.Perfect/Desktop/MyWeb/5f7ec2fb4c5f7.site123.me/my-skills/kotlin.html	(from https://5f7ec2fb4c5f7.site123.me/)
17:16:26	15942/15942	---M--	200	added ('OK')	image/jpg	etag:%22640850e3088e2113c25e7c3d97c44643%22	https://cdn-cms.f-static.net/uploads/4336936/400_crop_5f7ed8f974bbe_5f7ed8ee5e8fd.jpg	C:/Users/Mr.Perfect/Desktop/MyWeb/cdn-cms.f-static.net/uploads/4336936/400_crop_5f7ed8f974bbe_5f7ed8ee5e8fd.jpg	(from https://5f7ec2fb4c5f7.site123.me/)
17:16:27	46977/46977	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Oct%202020%2012:17:35%20GMT	https://5f7ec2fb4c5f7.site123.me/my-skills/android-studio	C:/Users/Mr.Perfect/Desktop/MyWeb/5f7ec2fb4c5f7.site123.me/my-skills/android-studio.html	(from https://5f7ec2fb4c5f7.site123.me/)
17:16:27	2494/2494	---M--	200	added ('OK')	image/png	etag:%22bcd08beb6748e2a28fbd6dc74eb9d0f2%22	https://cdn-cms.f-static.net/uploads/4336936/400_crop_5f7eda5ebd2e3_5f7ed9d086f68.png	C:/Users/Mr.Perfect/Desktop/MyWeb/cdn-cms.f-static.net/uploads/4336936/400_crop_5f7eda5ebd2e3_5f7ed9d086f68.png	(from https://5f7ec2fb4c5f7.site123.me/)
